ID,Acente Adı,Resmi Tam Ünvan (Long Name),Segment,Şehir,Açık Adres,PIB,MB,Kuruluş Tarihi,İşletme Ölçeği,Çalışan Sayısı (2023),Çalışan Sayısı (2024),Çalışan Sayısı (2025),Toplam Gelir (2023),Toplam Gelir (2024),Toplam Gelir (2025),Telefon Numaraları,Web / Profil Linkleri
220,3DH REAL ESTATE,,,Beograd,Ulica Ustanicka 176 11050 - Beograd,,,,,-,-,-,-,-,-,061 1501194,"https://www.indomio.rs/en/agent/3dh-real-estate/31028,https://www.nekretnine.rs/en/agencije-za-nekretnine/953/"
182,A CLUB REAL ESTATE,,,Beograd,Ulica Ljubinke Bobic 26 11077 - Beograd,,,,,-,-,-,-,-,-,"063 225033,063 7077320",https://www.nekretnine.rs/en/agencije-za-nekretnine/287/
312,ADRIATIC BANK,,,Beograd,Ulica Dalmatinska 22 11120 - Beograd,,,,,-,-,-,-,-,-,"066 8833168,066 8833402",https://www.nekretnine.rs/en/agencije-za-nekretnine/189/
183,ADV ROYAL-CONSULTING,,,Beograd,"Ulica Orfelinova, 57, Belgrade Serbia, 11030 79 11000 - Beograd",,,,,-,-,-,-,-,-,066 234363,https://www.nekretnine.rs/en/agencije-za-nekretnine/377/
282,AFI SKYLINE RESIDENCE,,,Beograd,Bulevar Vojvode Bojovica 28 11000 - Beograd,,,,,-,-,-,-,-,-,"011 225877,011225877,062 303006","https://www.indomio.rs/en/agent/afi-skyline-residence/30815,https://www.nekretnine.rs/en/agencije-za-nekretnine/3487/"
270,AGENCIJA BRANKOVIĆ,,,Beograd,- 11160 - Beograd,,,,,-,-,-,-,-,-,063 614801,https://www.nekretnine.rs/en/agencije-za-nekretnine/29/
438,AGENCIJA MEGA HOUSE PLUS VD,,,Vrnjačka Banja,"Ulica Krushevachka 1, Vrnjachka Banja 36210, 1,",,,,,-,-,-,-,-,-,0628966003,https://www.indomio.rs/en/agent/agencija-mega-house-plus-vd/30427
83,AGENCIJA NEKRETNINE OBRADOVIĆ,,,Beograd,"Terazije 27, Belgrade 27 11000 - Beograd",,,,,-,-,-,-,-,-,"011 4093903,063 8673560","https://www.indomio.rs/en/agent/agencija-nekretnine-obradovi%C4%87/30877,https://www.nekretnine.rs/en/agencije-za-nekretnine/539/"
437,AGENCIJA STOJANOVIĆ 016,,,Leskovac,"Moše Pijade 8/2, 8,",,,,,-,-,-,-,-,-,0641452189,https://www.indomio.rs/en/agent/agencija-stojanovi%C4%87-016/30800
435,AGENCIJA ZA NEKRETNINE NO1,,,Kikinda,"Svetosavska 38 d, 30,",,,,,-,-,-,-,-,-,"0621961144,063237935",https://www.indomio.rs/en/agent/agencija-za-nekretnine-no1/30826
179,AGORA NEKRETNINE,,,Beograd,Ulica Dragoslava Srejovica 2 11060 - Beograd,,,,,-,-,-,-,-,-,"060 5200160,060 5200161",https://www.nekretnine.rs/en/agencije-za-nekretnine/1203/
192,ALBATROS NEKRETNINE,,,Beograd,Ulica Ustanicka 128 11050 - Beograd,,,,,-,-,-,-,-,-,"011 3476640,065 3567078",https://www.nekretnine.rs/en/agencije-za-nekretnine/371/
200,ALEGRO LINE,,,Beograd,"Улица Јурија Гагарина, 14, Београд Србија, 11070 14 11070 - Beograd",,,,,-,-,-,-,-,-,"063 8889993,065 9958859",https://www.nekretnine.rs/en/agencije-za-nekretnine/289/
197,ALEKSANDAR NEKRETNINE 011,,,Beograd,Ulica Ljuba Vuckovica 13 11010 - Beograd,,,,,-,-,-,-,-,-,"063 259576,063259576","https://www.indomio.rs/en/agent/aleksandar-nekretnine-011/30846,https://www.nekretnine.rs/en/agencije-za-nekretnine/411/"
443,ALFA & OMEGA 034,,,Kragujevac,"Kralja Aleksandra I Karađorđevića102/12, 102,",,,,,-,-,-,-,-,-,,https://www.indomio.rs/en/agent/alfa---omega-034/30747
