ID,İsim,Segment,Resmi Tam Ünvan (Long Name),Kuruluş Tarihi,İşletme Ölçeği,Çalışan Sayısı (2023),Çalışan Sayısı (2024),Çalışan Sayısı (2025),Toplam Gelir (2023),Toplam Gelir (2024),Toplam Gelir (2025),E-posta Adresi,Şehir,Web / Profil Linkleri
375,CBRE d.o.o.,A-Kurumsal,CBRE d.o.o. Beograd (Novi Beograd),26.4.2018.,Srednje,"62,00","86,00","93,00","1.107.679.000,00","1.139.435.000,00","1.297.844.000,00",see@cbre.com,sprat: 7,"https://www.companywall.rs/firma/cbre-doo/MMzatKKY,https://www.nekretnine.cbre.rs"
374,CBS INTERNATIONAL DOO BEOGRAD,A-Kurumsal,PRIVREDNO DRUŠTVO ZA PROMET NEPOKRETNOSTI CBS INTERNATIONAL DOO BEOGRAD (NOVI BEOGRAD),20.11.2006.,Srednje,"120,00","133,00","138,00","1.221.877.000,00","1.475.727.000,00","1.847.756.000,00",office@cw-cbs.rs,Beograd (Novi Beograd),"https://www.companywall.rs/firma/cbs-international-doo-beograd/MMh2DtZD,https://www.cw-cbs.rs"
377,CITY EXPERT GLOBAL D.O.O.,A-Kurumsal,CITY EXPERT GLOBAL D.O.O. BEOGRAD-STARI GRAD,9.2.2015.,Malo,"90,00","91,00","88,00","307.423.000,00","358.266.000,00","398.040.000,00",info@cityexpert.rs,3,"https://cityexpert.rs,https://www.companywall.rs/firma/city-expert-global-doo/MMQyOJkD"
381,NS-GN DOO,A-Kurumsal,NS-GROUP NEKRETNINE DOO NOVI SAD,27.5.2016.,Malo,"158,00","170,00","167,00","159.890.000,00","224.441.000,00","233.240.000,00",marketing@ns-group.rs,Novi Sad,"http://www.nekretnine-novisad.rs,https://www.companywall.rs/firma/ns-gn-doo/MMqtVBlR"
403,ADVENTIS REAL ESTATE DOO BEOGRAD,B-BuyuyenOrta,ADVENTIS REAL ESTATE MANAGEMENT DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD (STARI GRAD),9.12.2011.,Mikro,"13,00","14,00","14,00","33.228.000,00","39.528.000,00","49.687.000,00",office@adventisrealestate.com,"15, sprat: V","http://www.adventisrealestate.com,https://www.companywall.rs/firma/adventis-real-estate-doo-beograd/MMiaUlTY"
378,Avalon Real Estate d.o.o.,B-BuyuyenOrta,Avalon Real Estate d.o.o. Beograd,19.7.2010.,Malo,"0,00","9,00","13,00","347.000,00","206.370.000,00","283.040.000,00",office@avalonre.rs,Beograd (Palilula),https://www.companywall.rs/firma/avalon-real-estate-doo/MMtoGf7q
398,BRIAN LACK AND CO DOO BEOGRAD,B-BuyuyenOrta,DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BRIAN LACK AND COMPANY INTERNATIONAL BEOGRAD,24.6.2010.,Mikro,"8,00","10,00","10,00","37.832.000,00","33.171.000,00","62.087.000,00","belgrade@brianlack.co.rs,office@knjigovodstvobeograd.rs",broj stana: 6,"https://www.brianlack.co.rs,https://www.companywall.rs/firma/brian-lack-and-co-doo-beograd/MMf7oh7D"
379,GRANDUM PROPERTY MANAGEMENT DOO BEOGRAD,B-BuyuyenOrta,GRANDUM PROPERTY MANAGEMENT DOO BEOGRAD (NOVI BEOGRAD),6.9.2004.,Malo,"13,00","24,00","24,00","296.291.000,00","220.568.000,00","266.079.000,00","indotek@indotek.rs,office@grandum.rs,office@gtcserbia.com",BEOGRAD (NOVI BEOGRAD),https://www.companywall.rs/firma/grandum-property-management-doo-beograd/MMkPlOxC
384,K8 PROPERTIES,B-BuyuyenOrta,K8 Properties doo Beograd,15.12.2021.,Mikro,"2,00","11,00","17,00","4.000,00","3.073.000,00","172.274.000,00",office@k8.rs,Beograd (Savski Venac),"https://www.companywall.rs/firma/k8-properties/MMx3Uyxr0,https://www.indomio.rs/en/agent/k8-properties/29511"
385,KADENA INTERNATIONAL REALTY DOO,B-BuyuyenOrta,KADENA INTERNATIONAL REALTY DOO BEOGRAD-NOVI BEOGRAD,3.7.2019.,Malo,"10,00","14,00","11,00","93.593.000,00","147.558.000,00","158.684.000,00",info@kadena.rs,Beograd (Novi Beograd),"https://kadenaproperties.com/,https://www.companywall.rs/firma/kadena-international-realty-doo/MMxxHP9Iq"
