Acente Adı,Adres,Telefon Numarası,E-posta Adresi,Profil Linki
Real Estate Bulevar,"Trg Kralja Aleksandra 2A, lokal 15, 2A 2A 18105 - Niš","018 4155502, 018 4155451",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3935/
EXPERT NEKRETNINE,Vojvode Misica 105A/1 105 18105 - Niš,"018 4151476, 018 4151483",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/451/
PROAGENT REAL,"Ulica Vozhda Karadjordja 24, Medijana 18105 24 18105 - Niš","018 390220, 066 492100",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/645/
KUĆA PETROVIĆ DOO,Vožda Karađorđa 7/4 7 18105 - Niš,"018 4151462, 018 4151473",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1299/
PROPERA NEKRETNINE,Zdravke Vučković 30 18106 - Niš,062 350190,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1067/
STAN NA KVADRAT NIŠ,Ulica Cara Dusana 45 18105 - Niš,"065 3081914, 063 1093600",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4303/
PERMETI NEKRETNINE,Ulica Mije Petrovica 4 18105 - Niš,060 0654005,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/993/
DISTRIKT NEKRETNINE,Ulica Svetozara Markovica 25 18105 - Niš,061 7067401,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3469/
MONDO NEKRETNINE,"Ulica Generala Boze Jankovica, 14 14 18105 - Niš",063 8380554,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/197/
DONA E,Bulevar Nemanjica 25 18105 - Niš,"060 0408229, 061 3998482",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/787/
BM PLUS NEKRETNINE,Bulevar Nemanjica 103 18108 - Niš,060 5035392,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/331/
TANDEM NEKRETNINE,Ulica Obrenoviceva 1 18105 - Niš,"064 2662761, 060 3233463",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/537/
EDIT 018,Ulica Mije Petrovica 10 18105 - Niš,063 475072,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3457/
KITIĆ,Nikole Pasica 30/2 21 18105 - Niš,"063 468755, 060 4687556",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/687/
DELTA NEKRETNINE,Ulica Svetozara Markovica 24 18105 - Niš,"064 9555579, 064 9555589",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/987/
DTS NEKRETNINE,Vozda Karadjordja 17 17 18105 - Niš,"060 6367820, 060 4443365",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1139/
RESPEKT NEKRETNINE,Ulica Ucitelj-Tasina 3 18105 - Niš,063 7079974,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/297/
GIGANT LUX,Ulica Obrenoviceva 5 18105 - Niš,064 5381199,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4381/
KVART NEKRETNINE,"Strahinjića Bana 3, lokal 58 3 18105 - Niš","066 9006050, 060 1300014",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1079/
INVESTITOR FILIPOVIĆ,Ulica Zarka Zrenjanina 37 18103 - Niš,060 5033681,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1089/
KODEKS NIŠ,Ulica Vozda Karadjordja 22 18105 - Niš,"018 527717, 060 7000737",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/11/
OLYMP,Vizantijski bulevar 86 18108 - Niš,"018 277181, 063 7048735",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/683/
ZNAMEN KAPITAL,"Ulica Generala Boze Jankovica, 11 11 18105 - Niš",065 9291700,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/253/
DAMBO-dom izuzetnih nekretnina,Ulica Vrbaska 1 18106 - Niš,"061 6767106, 069 678666",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/335/
IRMA NEKRETNINE,Ulica Generala Boze Jankovica 11 18105 - Niš,069 4199961,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/735/
BLAŽIĆ NEKRETNINE,Ulica Goricka 45 18106 - Niš,069 654007,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1329/
TRIPLE CROWN DOO,Ulica Aleksandra Medvedeva 2 18106 - Niš,"060 691312666, 060 6290685",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4871/
LEGRO,Ulica Jovana Ristica 25 18105 - Niš,"063 413224, 060 0110919",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1211/
GIMMEL NEKRETNINE,Ulica Dunavska 1 18363 - Aleksinac,066 5320190,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1603/
