Acente Adı,Adres,Telefon Numarası,E-posta Adresi,Profil Linki
NS-GROUP NEKRETNINE,Bulevar Oslobodjenja 91 21101 - Novi Sad,021 6613660,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/563/
N-NEKRETNINE,"Суботички булевар 46 Нови Сад,  Нови Сад, 21124 44 21124 - Novi Sad","066 8292500, 065 2727090",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/229/
Real estate agency Gold nekretnine Novi Sad,Maksima Gorkog br.2 2 21101 - Novi Sad,"021 3025125, 066 8442244",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3179/
KLJUČ 3112 NEKRETNINE,Ulica Maksima Gorkog 2 21101 - Novi Sad,"021 524601, 060 5246010",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1695/
NekretnineXpert,Ulica Aleksandra Tisme 4 21101 - Novi Sad,"021 2769256, 062 299500",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4305/
VINSON NEKRETNINE,Ulica Zeleznicka 48 21101 - Novi Sad,"021 6611475, 064 8614567",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1545/
ŠĆEPANOVIĆ I SARADNICI,Bulevar Oslobodjenja 78 21101 - Novi Sad,"063 343200, 021 2300900",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2469/
FAMILY NEKRETNINE,Ulica Radnicka 2a 21101 - Novi Sad,063 663254,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/425/
BOMBYX,"Novi Sad, Svetozara Miletica 51 51 21101 - Novi Sad",063 518546,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/641/
ELIT real estate,"Житни трг, 9, Нови Сад Србија, 21101 9 21101 - Novi Sad","062 765500, 062 765100",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4311/
LAV 2020 NEKRETNINE,Augusta Cesarca 18 18 21101 - Novi Sad,"063 7445379, 064 7445379",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1065/
MASTER 021 NEKRETNINE,"Ulica Pasterova, 7 - Novi Sad","064 6432338, 063 536286",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3401/
MEGATRANS NEKRETNINE,Ulica Vojvodjanskih brigada 22 21101 - Novi Sad,"021 557592, 063 519533",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/455/
